ds,y
2021-08-02,3382.48
2021-08-03,3967.28
2021-08-04,3476.90
2021-08-05,3928.60
2021-08-06,5086.94
2021-08-07,5769.13
2021-08-08,4411.22
2021-08-09,3467.46
2021-08-10,4283.89
2021-08-11,3692.32
2021-08-12,3637.94
2021-08-13,5239.12
2021-08-14,5392.00
2021-08-15,4568.65
2021-08-16,3590.65
2021-08-17,3421.33
2021-08-18,3135.57
2021-08-19,4055.95
2021-08-20,5301.88
2021-08-21,5557.70
2021-08-22,4418.63
2021-08-23,3427.72
2021-08-24,3908.89
2021-08-25,3255.60
2021-08-26,4737.06
2021-08-27,5331.72
2021-08-28,5409.47
2021-08-29,4757.58
2021-08-30,4564.87
2021-08-31,4021.07
2021-09-01,3445.93
2021-09-02,3861.94
2021-09-03,4958.56
2021-09-04,5444.38
2021-09-05,5034.86
2021-09-06,3234.54
2021-09-07,3541.13
2021-09-08,3535.75
2021-09-09,3820.94
2021-09-10,5274.13
2021-09-11,5122.38
2021-09-12,4577.54
2021-09-13,3657.99
2021-09-14,3281.02
2021-09-15,3761.39
2021-09-16,3733.66
2021-09-17,5672.37
2021-09-18,5268.01
2021-09-19,4119.90
2021-09-20,3085.94
2021-09-21,3283.10
2021-09-22,3055.58
2021-09-23,3722.67
2021-09-24,5618.28
2021-09-25,6370.07
2021-09-26,5014.36
2021-09-27,3642.86
2021-09-28,4018.57
2021-09-29,4235.94
2021-09-30,3700.91
2021-10-01,5752.16
2021-10-02,5920.11
2021-10-03,4453.50
2021-10-04,3316.08
2021-10-05,4059.11
2021-10-06,4054.52
2021-10-07,3927.31
2021-10-08,5233.84
2021-10-09,5793.60
2021-10-10,4128.06
2021-10-11,3241.89
2021-10-12,3410.55
2021-10-13,3563.52
2021-10-14,3898.01
2021-10-15,5580.57
2021-10-16,6093.96
2021-10-17,3934.28
2021-10-18,3259.09
2021-10-19,3834.54
2021-10-20,3437.54
2021-10-21,3984.46
2021-10-22,5006.45
2021-10-23,5093.85
2021-10-24,3992.58
2021-10-25,3366.61
2021-10-26,4154.50
2021-10-27,3848.64
2021-10-28,4101.31
2021-10-29,5659.12
2021-10-30,6020.60
2021-10-31,4511.90
2021-11-01,3491.85
2021-11-02,3255.35
2021-11-03,3536.66
2021-11-04,4169.13
2021-11-05,4505.58
2021-11-06,5490.27
2021-11-07,4262.37
2021-11-08,2858.18
2021-11-09,3723.94
2021-11-10,2065.48
2021-11-11,3471.01
2021-11-12,5726.81
2021-11-13,5847.12
2021-11-14,4353.28
2021-11-15,2642.71
2021-11-16,2886.95
2021-11-17,2940.88
2021-11-18,3486.68
2021-11-19,5084.35
2021-11-20,5735.43
2021-11-21,4782.23
2021-11-22,2944.07
2021-11-23,3140.70
2021-11-24,2518.67
2021-11-25,3887.77
2021-11-26,6213.89
2021-11-27,6409.41
2021-11-28,4461.38
2021-11-29,3786.54
2021-11-30,3806.31
2021-12-01,3578.55
2021-12-02,3605.43
2021-12-03,5026.42
2021-12-04,5691.97
2021-12-05,5062.38
2021-12-06,3318.18
2021-12-07,3326.73
2021-12-08,3453.54
2021-12-09,3712.84
2021-12-10,5981.38
2021-12-11,4981.33
2021-12-12,5005.30
2021-12-13,3363.53
2021-12-14,3270.96
2021-12-15,2720.66
2021-12-16,3961.59
2021-12-17,5561.75
2021-12-18,5295.52
2021-12-19,4593.04
2021-12-20,3861.37
2021-12-21,4133.93
2021-12-22,4082.27
2021-12-23,3814.66
2021-12-24,2901.45
2021-12-26,2914.02
2021-12-27,5157.03
2021-12-28,4662.42
2021-12-29,3542.70
2021-12-30,4181.14
2021-12-31,3486.45
2022-01-01,4513.00
2022-01-02,5026.80
2022-01-03,4406.89
2022-01-04,3055.66
2022-01-05,2717.16
2022-01-06,3262.11
2022-01-07,4933.14
2022-01-08,4837.38
2022-01-09,3623.67
2022-01-10,3206.82
2022-01-11,3231.59
2022-01-12,3276.65
2022-01-13,3578.82
2022-01-14,5507.03
2022-01-15,5657.68
2022-01-16,5045.11
2022-01-17,3184.46
2022-01-18,3349.88
2022-01-19,3340.49
2022-01-20,3790.36
2022-01-21,5780.02
2022-01-22,5723.19
2022-01-23,4275.27
2022-01-24,3025.00
2022-01-25,3642.09
2022-01-26,3739.09
2022-01-27,3501.22
2022-01-28,5439.37
2022-01-29,6023.73
2022-01-30,5139.22
2022-01-31,3265.27
2022-02-01,3040.16
2022-02-02,3276.13
2022-02-03,3482.06
2022-02-04,5081.07
2022-02-05,5376.28
2022-02-06,4357.26
2022-02-07,3240.28
2022-02-08,3097.70
2022-02-09,3309.22
2022-02-10,3884.45
2022-02-11,4972.19
2022-02-12,4327.01
2022-02-13,3966.07
2022-02-14,3993.77
2022-02-15,3213.85
2022-02-16,2891.37
2022-02-17,3462.11
2022-02-18,5653.02
2022-02-19,6145.40
